Nintendo,Wii Sports,Wii
Nintendo,Mario Kart Wii,Wii
Nintendo,Wii Sports Resort,Wii
Nintendo,New Super Mario Bros.,DS
Nintendo,Wii Play,Wii
Nintendo,New Super Mario Bros. Wii,Wii
Nintendo,Mario Kart DS,DS
Nintendo,Wii Fit,Wii
Good Science Studio,Kinect Adventures!,X360
Nintendo,Wii Fit Plus,Wii
Rockstar North,Grand Theft Auto V,PS3
Rockstar North,Grand Theft Auto: San Andreas,PS2
Nintendo,Brain Age: Train Your Brain in Minutes a Day,DS
Rockstar North,Grand Theft Auto V,X360
Rockstar North,Grand Theft Auto: Vice City,PS2
Nintendo,Brain Age 2: More Training in Minutes a Day,DS
Polyphony Digital,Gran Turismo 3: A-Spec,PS2
"Infinity Ward, Sledgehammer Games",Call of Duty: Modern Warfare 3,X360
Treyarch,Call of Duty: Black Ops,X360
Treyarch,Call of Duty: Black Ops II,PS3
Treyarch,Call of Duty: Black Ops II,X360
Infinity Ward,Call of Duty: Modern Warfare 2,X360
"Infinity Ward, Sledgehammer Games",Call of Duty: Modern Warfare 3,PS3
DMA Design,Grand Theft Auto III,PS2
Game Arts,Super Smash Bros. Brawl,Wii
"Retro Studios, Entertainment Analysis & Development Division",Mario Kart 7,3DS
Treyarch,Call of Duty: Black Ops,PS3
Rockstar North,Grand Theft Auto V,PS4
Nintendo,Animal Crossing: Wild World,DS
"Bungie Software, Bungie",Halo 3,X360
Polyphony Digital,Gran Turismo 4,PS2
Nintendo,Super Mario Galaxy,Wii
Rockstar North,Grand Theft Auto IV,X360
Polyphony Digital,Gran Turismo,PS
Nintendo,Super Mario 3D Land,3DS
Polyphony Digital,Gran Turismo 5,PS3
Infinity Ward,Call of Duty: Modern Warfare 2,PS3
Rockstar North,Grand Theft Auto IV,PS3
Infinity Ward,Call of Duty: Ghosts,X360
Ubisoft,Just Dance 3,Wii
Nintendo,New Super Mario Bros. 2,3DS
Bungie,Halo: Reach,X360
SquareSoft,Final Fantasy VII,PS
343 Industries,Halo 4,X360
Polyphony Digital,Gran Turismo 2,PS
Ubisoft,Just Dance 2,Wii
Infinity Ward,Call of Duty: Ghosts,PS3
Infinity Ward,Call of Duty 4: Modern Warfare,X360
Nintendo,Animal Crossing: New Leaf,3DS
Hudson Soft,Mario Party DS,DS
Bethesda Game Studios,The Elder Scrolls V: Skyrim,X360
EA Sports,FIFA 16,PS4
Bungie Software,Halo 2,XB
Nd Cube,Wii Party,Wii
Hudson,Mario Party 8,Wii
Electronic Arts,FIFA Soccer 13,PS3
SquareSoft,Final Fantasy X,PS2
The Sims Studio,The Sims 3,PC
SquareSoft,Final Fantasy VIII,PS
Game Freak,Pokémon Platinum Version,DS
Rockstar Leeds,Grand Theft Auto: Liberty City Stories,PSP
Sledgehammer Games,Call of Duty: Advanced Warfare,PS4
"EA Sports, EA Vancouver",FIFA 17,PS4
Nintendo EAD Tokyo,Super Mario Galaxy 2,Wii
Treyarch,Call of Duty: World at War,X360
EA DICE,Battlefield 3,X360
EA Black Box,Need for Speed Underground,PS2
Ubisoft Paris,Just Dance,Wii
EA DICE,Battlefield 3,PS3
Bethesda Game Studios,Fallout 4,PS4
Namco,Tekken 3,PS
Nintendo,The Legend of Zelda: Twilight Princess,Wii
Naughty Dog,Crash Bandicoot 3: Warped,PS
Nintendo,Mario Kart 8,WiiU
HAL Labs,Super Smash Bros. Melee,GC
EA Canada,Need for Speed Underground 2,PS2
EA LA,Medal of Honor: Frontline,PS2
Ubisoft,Just Dance 4,Wii
Epic Games,Gears of War 2,X360
Naughty Dog,Uncharted 3: Drake's Deception,PS3
"Pipeworks Software, Inc.",Zumba Fitness,Wii
Infinity Ward,Call of Duty 4: Modern Warfare,PS3
Naughty Dog,Uncharted 2: Among Thieves,PS3
Nintendo,Big Brain Academy,DS
Rockstar San Diego,Red Dead Redemption,PS3
EA Canada,FIFA 14,PS3
Ubisoft,Assassin's Creed III,PS3
Retro Studios,Donkey Kong Country Returns,Wii
Bungie Software,Halo: Combat Evolved,XB
Bethesda Game Studios,The Elder Scrolls V: Skyrim,PS3
Game Freak,Pokémon Emerald Version,GBA
SquareSoft,Kingdom Hearts,PS2
"Bungie Software, Bungie",Halo 3: ODST,X360
Rockstar San Diego,Red Dead Redemption,X360
Nintendo,Super Mario Sunshine,GC
Blizzard Entertainment,World of Warcraft,PC
Reflections Interactive,Driver,PS
Epic Games,Gears of War 3,X360
Rare Ltd.,Kinect Sports,X360
Epic Games,Gears of War,X360
EA Sports,FIFA 15,PS4
KCEJ,Metal Gear Solid 2: Sons of Liberty,PS2
KCEJ,Metal Gear Solid,PS
Kojima Productions,Metal Gear Solid 4: Guns of the Patriots,PS3
Square Enix,Final Fantasy XII,PS2
Naughty Dog,The Last of Us,PS3
"SCE/WWS, Media Molecule",LittleBigPlanet,PS3
Capcom,Resident Evil 2,PS
Level 5,Dragon Quest IX: Sentinels of the Starry Skies,DS
Namco,Tekken 2,PS
"Bungie Software, Bungie",Destiny,PS4
Traveller's Tales,LEGO Star Wars: The Complete Saga,Wii
Taito Corporation,Cooking Mama,DS
Ubisoft Montreal,Assassin's Creed II,PS3
Ubisoft Montreal,Assassin's Creed,X360
Turn 10,Forza Motorsport 3,X360
Nintendo,Super Mario Advance,GBA
Capcom,Monster Hunter Freedom Unite,PSP
Rocksteady Studios,Batman: Arkham City,PS3
Rockstar North,Grand Theft Auto V,XOne
Intelligent Systems,Mario Kart: Super Circuit,GBA
Traveller's Tales,Crash Bandicoot: The Wrath of Cortex,PS2
Treyarch,Call of Duty: World at War,PS3
Naughty Dog,Uncharted 4: A Thief's End,PS4
Square Enix,Final Fantasy XIII,PS3
SquareSoft,Final Fantasy IX,PS
Ubisoft,Assassin's Creed III,X360
SquareSoft,Final Fantasy X-2,PS2
Sledgehammer Games,Call of Duty: Advanced Warfare,XOne
Ubisoft Montreal,Assassin's Creed II,X360
Core Design Ltd.,Tomb Raider II,PS
EA Tiburon,Madden NFL 2004,PS2
Nintendo,New Super Mario Bros. U,WiiU
Level 5,Dragon Quest VIII: Journey of the Cursed King,PS2
Level 5,Professor Layton and the Curious Village,DS
Electronic Arts,FIFA Soccer 13,X360
Blizzard Entertainment,Diablo III,PC
EA LA,Medal of Honor: Rising Sun,PS2
Harmonix Music Systems,Guitar Hero II,PS2
Lionhead Studios,Fable III,X360
Capcom,Resident Evil 5,PS3
Nintendo,The Legend of Zelda: Phantom Hourglass,DS
EA Sports,FIFA Soccer 11,PS3
Capcom,Resident Evil,PS
Rockstar Leeds,Grand Theft Auto: Vice City Stories,PSP
Neversoft Entertainment,Tony Hawk's Pro Skater,PS
"Neversoft Entertainment, BudCat",Guitar Hero III: Legends of Rock,PS2
Nintendo,Link's Crossbow Training,Wii
Bethesda Game Studios,Fallout 3,X360
"Naughty Dog, SCE/WWS",Uncharted: Drake's Fortune,PS3
EA Sports,Madden NFL 06,PS2
Blizzard Entertainment,StarCraft II: Wings of Liberty,PC
Ubisoft Montreal,Assassin's Creed,PS3
SCE Santa Monica,God of War III,PS3
Naughty Dog,Crash Team Racing,PS
TT Fusion,LEGO Star Wars: The Complete Saga,DS
Reflections Interactive,Driver 2,PS
Rocksteady Studios,Batman: Arkham City,X360
Neversoft Entertainment,Tony Hawk's Pro Skater 2,PS
Stormfront Studios,The Lord of the Rings: The Two Towers,PS2
Core Design Ltd.,Tomb Raider,PS
Nintendo,Animal Crossing: City Folk,Wii
Bluepoint Games,Uncharted: The Nathan Drake Collection,PS4
Nintendo,The Legend of Zelda: The Wind Waker,GC
Vicarious Visions,Guitar Hero III: Legends of Rock,Wii
Next Level Games,Luigi's Mansion: Dark Moon,3DS
Turn 10,Forza Motorsport 4,X360
EA Tiburon,Madden NFL 2005,PS2
Neversoft Entertainment,Guitar Hero III: Legends of Rock,X360
EA Sports,Madden NFL 07,PS2
343 Industries,Halo 5: Guardians,XOne
Treyarch,Spider-Man: The Movie,PS2
Infinity Ward,Call of Duty: Infinite Warfare,PS4
SCE Santa Monica,God of War,PS2
Nintendo,Splatoon,WiiU
Nintendo,Nintendo Land,WiiU
Neversoft Entertainment,Tony Hawk's Pro Skater 3,PS2
Konami,Winning Eleven: Pro Evolution Soccer 2007,PS2
Bethesda Softworks,The Elder Scrolls IV: Oblivion,X360
EA Canada,Need for Speed: Most Wanted,PS2
"Ubisoft Paris, Ubisoft Montpellier",Michael Jackson: The Experience,Wii
High Moon Studios,Call of Duty: Advanced Warfare,PS3
Insomniac Games,Resistance: Fall of Man,PS3
Square Enix,Kingdom Hearts II,PS2
Nintendo,Super Mario 3D World,WiiU
High Moon Studios,Call of Duty: Advanced Warfare,X360
EA Sports,FIFA 15,PS3
Lionhead Studios,Fable II,X360
Mass Media,Namco Museum,GBA
Rocksteady Studios,Batman: Arkham Asylum,PS3
KCEJ,Metal Gear Solid 3: Snake Eater,PS2
Ubisoft Montreal,Assassin's Creed: Revelations,PS3
Bethesda Game Studios,Fallout 4,XOne
EA Canada,FIFA 14,X360
Ready at Dawn,Daxter,PSP
EA Canada,FIFA Soccer 06,PS2
"SCEE, Zoe Mode",EyeToy Play,PS2
Polyphony Digital,Gran Turismo 5 Prologue,PS3
Ubisoft Montreal,Assassin's Creed: Revelations,X360
Capcom,Street Fighter IV,PS3
EA Sports,Madden NFL 2003,PS2
Valve Software,Half-Life,PC
Blizzard Entertainment,World of Warcraft: The Burning Crusade,PC
EA DICE,Battlefield 1,PS4
SCE Santa Monica,God of War II,PS2
Konami,World Soccer Winning Eleven 9,PS2
Obsidian Entertainment,Fallout: New Vegas,X360
Turn 10,Forza Motorsport 2,X360
Cat Daddy Games,Carnival Games,Wii
Ubisoft Montreal,Watch Dogs,PS4
Namco,Tekken Tag Tournament,PS2
Ubisoft Montreal,Far Cry 4,PS4
Digital Eclipse,Namco Museum: 50th Anniversary,PS2
Valve Software,Left 4 Dead 2,X360
CD Projekt Red Studio,The Witcher 3: Wild Hunt,PS4
"Ubisoft, Ubisoft Montreal",Assassin's Creed: Unity,PS4
Rocksteady Studios,Batman: Arkham Knight,PS4
Nintendo,The Legend of Zelda: Skyward Sword,Wii
Bethesda Game Studios,Fallout 3,PS3
Level 5,Professor Layton and the Diabolical Box,DS
EA Canada,EA Sports Active,Wii
Neversoft Entertainment,Tony Hawk's Underground,PS2
Capcom,Monster Hunter 4 Ultimate,3DS
Bethesda Game Studios,The Elder Scrolls V: Skyrim,PC
Visual Concepts,NBA 2K16,PS4
Namco,Tekken 5,PS2
Evolution Studios,MotorStorm,PS3
KCET,World Soccer Winning Eleven 8 International,PS2
"SCEA, Zindagi Games",Sports Champions,PS3
Infinity Ward,Call of Duty: Ghosts,PS4
"Nintendo, Namco Bandai Games",Flash Focus: Vision Training in Minutes a Day,DS
Massive Entertainment,Tom Clancy's The Division,PS4
Nintendo,Big Brain Academy: Wii Degree,Wii
