Sports,41.36
Platform,29.08
Racing,15.68
Sports,15.61
Role-Playing,11.27
Puzzle,23.2
Platform,11.28
Misc,13.96
Platform,14.44
Shooter,26.93
Simulation,9.05
Racing,9.71
Role-Playing,9
Sports,8.92
Misc,15
Sports,9.01
Action,7.02
Action,9.43
Platform,12.78
Misc,4.74
Role-Playing,6.38
Platform,10.83
Platform,9.54
Action,9.66
Action,8.41
Role-Playing,6.06
Puzzle,3.43
Role-Playing,5.51
Racing,6.85
Shooter,9.04
Role-Playing,5.89
Shooter,6.03
Shooter,9.7
Role-Playing,5.28
Shooter,4.99
Shooter,8.25
Shooter,8.52
Shooter,5.54
Action,6.99
Fighting,6.62
Racing,5.03
Shooter,5.99
Action,3.96
Simulation,2.5
Shooter,7.97
Platform,6.91
Action,4.34
Role-Playing,4.35
Racing,3.01
Platform,6.06
Adventure,6.16
Action,6.76
Racing,4.02
Platform,4.89
Racing,2.96
Shooter,4.99
Platform,5.99
Action,4.76
Role-Playing,4.34
Platform,5.01
Shooter,6.73
Misc,5.95
Platform,3.66
Racing,5.55
Shooter,7.04
Role-Playing,3.01
Shooter,6.65
Racing,3.88
Misc,5.8
Shooter,4.1
Shooter,5.93
Platform,4.36
Misc,5.7
Simulation,2.03
Misc,4.4
Role-Playing,5.05
Racing,3.54
Sports,1.12
Shooter,6.82
Misc,1.75
Misc,3.74
Action,1.06
Shooter,5.8
Role-Playing,2.79
Role-Playing,2.91
Simulation,0.99
Sports,2.57
Shooter,2.99
Role-Playing,2.28
Puzzle,7.28
Role-Playing,2.76
Action,2.9
Shooter,2.81
Action,4.1
Sports,0.66
Platform,3.78
Fighting,3.27
Platform,3.56
Platform,5.39
Shooter,4.59
Shooter,4.81
Shooter,4.46
Racing,3.27
Misc,3.48
Shooter,2.85
Role-Playing,2.53
Fighting,3.27
Action,3.74
Role-Playing,2.98
Platform,3.68
Racing,3.15
Fighting,4.41
Racing,4.12
Racing,2.71
Shooter,2.93
Platform,3.23
Misc,4.05
Shooter,4.15
Action,2.77
Sports,3.45
Shooter,3.11
Action,3.27
Sports,0.84
Misc,1.66
Action,3.74
Action,2.79
Sports,0.78
Action,2.64
Platform,3.17
Shooter,4.98
Role-Playing,2.55
Role-Playing,2.57
Role-Playing,3.64
Role-Playing,2.55
Shooter,4.34
Action,3.7
Platform,4.01
Fighting,2.47
Role-Playing,0.08
Action,3.11
Shooter,4.05
Sports,3.92
Shooter,3.54
Sports,0.8
Action,2.45
Platform,4.47
Action,3.18
Action,2.63
Role-Playing,1.88
Action,2.41
Platform,2.8
Action,1.88
Role-Playing,0.63
Fighting,2.26
Shooter,2.49
Action,3.57
Simulation,3.07
Puzzle,2.97
Fighting,2.95
Action,2.54
Adventure,3.28
Racing,2.99
Platform,3.14
Role-Playing,0.47
Action,2.71
Action,2.81
Racing,2.62
Platform,3.21
Strategy,3.18
Platform,2.07
Shooter,2.73
Shooter,1.85
Puzzle,2.18
Role-Playing,1.74
Misc,3.02
Role-Playing,1.62
Action,3.13
Role-Playing,1.92
Platform,3.33
Shooter,3.22
Misc,2.03
Action,3.11
Action,2.3
Sports,4.26
Simulation,0.97
Platform,2.3
Role-Playing,0.65
Platform,2.93
Puzzle,1.21
Platform,2.49
Action,1.09
Platform,2.1
Role-Playing,2.44
Shooter,1.98
Platform,2.71
Simulation,3.22
Misc,3.81
Role-Playing,3.59
Sports,1.63
Action,1.96
Action,1.85
Platform,3.4
Sports,0.61
Action,2.05
Action,1.7
Sports,3.42
Strategy,2.79
Platform,3.36
Misc,3.49
Shooter,3.05
Role-Playing,1.83
Role-Playing,3.4
Action,2.31
Sports,3.98
Racing,2.91
Fighting,2.6
Puzzle,2.62
Strategy,2.57
Adventure,1.91
Action,2.74
Racing,2.57
Action,2.83
Action,2.36
Action,2.99
Action,1.88
Racing,1.73
Sports,3.05
Action,1.94
Action,2.29
Simulation,1.82
Action,2.07
Action,2.42
Action,2.6
Misc,3.04
Action,1.8
Racing,2.08
Sports,1.87
Sports,4.18
Misc,3.19
Platform,4.21
Sports,3.63
Shooter,2.78
Action,2.71
Role-Playing,0.2
Shooter,1.61
Action,2.71
Shooter,1.54
Misc,2.52
Sports,2.66
Sports,0.1
Role-Playing,2.82
Adventure,2.19
Racing,2.03
Misc,2.64
Shooter,1.56
Shooter,1.74
Platform,3.03
Role-Playing,2.2
Action,2.09
Platform,2.11
Misc,1.48
Shooter,4
Shooter,2.77
Sports,0.58
Role-Playing,2.51
Misc,3
Action,2.24
Action,1.46
Action,1.41
Role-Playing,2.51
Sports,0.92
Platform,2.45
Strategy,1.7
Sports,0.78
Misc,0.88
Racing,1.28
Action,2.25
Sports,0.84
Action,3.38
Fighting,2.03
Racing,2.04
Action,3.79
Sports,3.36
Shooter,4.03
Platform,1.65
Sports,0.71
Fighting,1.42
Role-Playing,2.57
Shooter,1.1
Action,2.32
Sports,0.12
Role-Playing,2.66
Racing,2.35
Misc,2.12
Action,1.4
Misc,2.28
Fighting,1.68
Shooter,1.13
Shooter,2.78
Sports,1.22
Misc,2.08
Shooter,2.67
Role-Playing,1.02
Action,1.19
Action,1.53
Action,2.03
Role-Playing,2.15
Puzzle,0.9
Platform,1.97
Sports,2.09
Sports,2.29
Role-Playing,0.68
Role-Playing,1.16
Sports,2.49
Fighting,0.93
Role-Playing,0.1
Racing,1.53
Simulation,1.44
Sports,0.16
Sports,2.13
Misc,2.12
Action,2.21
Shooter,1.78
Misc,0.86
Shooter,1.35
Misc,1.05
Action,1.82
Role-Playing,2.23
Action,2.4
Simulation,2.03
Platform,1.4
Action,1.37
Sports,1.12
Action,1.3
Platform,1.95
Platform,1.93
Action,1.33
Sports,0.58
Strategy,1.49
Sports,2.13
Shooter,2.04
Simulation,1.58
Racing,1.65
Platform,1.87
Shooter,2.53
Platform,2.08
Simulation,2.23
Sports,0.05
Action,2.08
Misc,2.32
Sports,0.6
Shooter,1.93
Shooter,2.05
Racing,2.02
Action,2.38
Shooter,1.35
Shooter,2.18
Misc,1.88
Simulation,1.6
Fighting,2.01
Platform,1.57
Action,1.56
Action,1.23
Action,1.66
Shooter,1.9
Action,1.98
Action,1.96
Sports,0.71
Platform,2.14
Shooter,2.66
Platform,1.17
Action,2.27
Action,1.64
Action,2.11
Action,2.85
Sports,0.59
Shooter,1.3
Action,2.2
Shooter,2.15
Shooter,2.1
Sports,1.21
Misc,2.1
Misc,0.59
Shooter,2.4
