Wii Sports,28.96,3.77,Wii
Super Mario Bros.,3.58,6.81,NES
Mario Kart Wii,12.76,3.79,Wii
Wii Sports Resort,10.93,3.28,Wii
Pokemon Red/Pokemon Blue,8.89,10.22,GB
Tetris,2.26,4.22,GB
New Super Mario Bros.,9.14,6.5,DS
Wii Play,9.18,2.93,Wii
New Super Mario Bros. Wii,6.94,4.7,Wii
Duck Hunt,0.63,0.28,NES
Nintendogs,10.95,1.93,DS
Mario Kart DS,7.47,4.13,DS
Pokemon Gold/Pokemon Silver,6.18,7.2,GB
Wii Fit,8.03,3.6,Wii
Kinect Adventures!,4.89,0.24,X360
Wii Fit Plus,8.49,2.53,Wii
Grand Theft Auto V,9.09,0.98,PS3
Grand Theft Auto: San Andreas,0.4,0.41,PS2
Super Mario World,3.75,3.54,SNES
Brain Age: Train Your Brain in Minutes a Day,9.2,4.16,DS
Pokemon Diamond/Pokemon Pearl,4.46,6.04,DS
Super Mario Land,2.71,4.18,GB
Super Mario Bros. 3,3.44,3.84,NES
Grand Theft Auto V,5.14,0.06,X360
Grand Theft Auto: Vice City,5.49,0.47,PS2
Pokemon Ruby/Pokemon Sapphire,3.9,5.38,GBA
Brain Age 2: More Training in Minutes a Day,5.35,5.32,DS
Pokemon Black/Pokemon White,3.17,5.65,DS
Gran Turismo 3: A-Spec,5.09,1.87,PS2
Call of Duty: Modern Warfare 3,4.24,0.13,X360
Pokémon Yellow: Special Pikachu Edition,5.04,3.12,GB
Call of Duty: Black Ops 3,5.86,0.36,PS4
Call of Duty: Black Ops,3.68,0.11,X360
Pokemon X/Pokemon Y,4.19,4.35,3DS
Call of Duty: Black Ops II,5.73,0.65,PS3
Call of Duty: Black Ops II,4.24,0.07,X360
Call of Duty: Modern Warfare 2,3.59,0.08,X360
Call of Duty: Modern Warfare 3,5.73,0.49,PS3
Grand Theft Auto III,4.51,0.3,PS2
Super Smash Bros. Brawl,2.55,2.66,Wii
Mario Kart 7,4.02,2.69,3DS
Call of Duty: Black Ops,4.37,0.48,PS3
Grand Theft Auto V,6.31,0.38,PS4
Animal Crossing: Wild World,3.45,5.33,DS
Halo 3,2.81,0.13,X360
Super Mario 64,2.85,1.91,N64
Pokemon HeartGold/Pokemon SoulSilver,2.71,3.96,DS
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3.49,3.1,3DS
Gran Turismo 4,0.01,1.1,PS2
Super Mario Galaxy,3.35,1.2,Wii
Super Mario Land 2: 6 Golden Coins,2.04,2.69,GB
Grand Theft Auto IV,3.07,0.14,X360
Gran Turismo,3.87,2.54,PS
Super Mario 3D Land,3,2.14,3DS
Gran Turismo 5,4.82,0.81,PS3
Call of Duty: Modern Warfare 2,3.64,0.38,PS3
Super Mario All-Stars,2.15,2.12,SNES
Grand Theft Auto IV,3.69,0.44,PS3
Pokemon FireRed/Pokemon LeafGreen,2.65,3.15,GBA
Super Mario 64,3.07,1.25,DS
Call of Duty: Ghosts,2.56,0.04,X360
Just Dance 3,3.11,0,Wii
New Super Mario Bros. 2,3.14,2.47,3DS
Mario Kart 64,1.94,2.23,N64
Halo: Reach,1.95,0.08,X360
Final Fantasy VII,2.47,3.28,PS
Halo 4,2.28,0.04,X360
Gran Turismo 2,3.42,1.69,PS
Just Dance 2,2.85,0.01,Wii
